method,proportion,avg length
Data splitting,0.7,40.45387007084865
Data splitting,0.7,34.223439783668525
Data splitting,0.7,32.745601023907696
Data splitting,0.7,61.01988663177745
Data splitting,0.7,39.46542753954499
Data splitting,0.7,36.64601711294952
Data splitting,0.7,61.26768080273563
Data splitting,0.7,48.02868498663209
Data splitting,0.7,43.934198103043315
Data splitting,0.7,33.177923803610284
Data splitting,0.7,30.286793006340254
Data splitting,0.7,37.3732213039016
Data splitting,0.7,5703.9589511983895
Data splitting,0.7,51.66030422738196
Data splitting,0.7,50.85145090146816
Data splitting,0.7,19.77022615417777
Data splitting,0.7,42.69994405531522
Data splitting,0.7,26.843493814672343
Data splitting,0.7,35.54356693140756
Data splitting,0.7,34.20030825104028
Data splitting,0.7,48.62999905644467
Data splitting,0.7,50.09533294366792
Data splitting,0.7,33.21585421073325
Data splitting,0.7,43.23056339356039
Data splitting,0.7,37.875867849571044
Data splitting,0.7,38.893703448504
Data splitting,0.7,36.70941921342915
Data splitting,0.7,41.97404875019036
Data splitting,0.7,39.67000153118918
Data splitting,0.7,36.013561767193174
Data splitting,0.7,43.2991222568172
Data splitting,0.7,44.08540081120302
Data splitting,0.7,32.00736811187279
Data splitting,0.7,28.24790761874637
Data splitting,0.7,43.84727638384564
Data splitting,0.7,28.457250872142072
Data splitting,0.7,37.09211664761344
Data splitting,0.7,39.33030174994492
Data splitting,0.7,24.634958086451263
Data splitting,0.7,40.72510035278865
Data splitting,0.7,20.816969412713348
Data splitting,0.7,40.62909177074278
Data splitting,0.7,43.36265471132293
Data splitting,0.7,42.732900168912224
Data splitting,0.7,23.17618744834826
Data splitting,0.7,41.526431030840776
Data splitting,0.7,40.23779397792128
Data splitting,0.7,27.372568025043744
Data splitting,0.7,35.18265140760321
Data splitting,0.7,16893.438162882838
Data splitting,0.7,28.32699311519008
Data splitting,0.7,44.43190014307462
Data splitting,0.7,54.75309155200417
Data splitting,0.7,20.593991954702368
Data splitting,0.7,70.54293673444026
Data splitting,0.7,27.81704013962743
Data splitting,0.7,31.29136661868232
Data splitting,0.7,29.892917111021006
Data splitting,0.7,25.61673681375879
Data splitting,0.7,36.76366724475285
Data splitting,0.7,33.79610559109314
Data splitting,0.7,19.704571225903635
Data splitting,0.7,35.726124963029065
Data splitting,0.7,36.17861063995714
Data splitting,0.7,51.95932947853343
Data splitting,0.7,36.52032798784239
Data splitting,0.7,59.803507744320605
Data splitting,0.7,17.283089432028593
Data splitting,0.7,36.39361154794046
Data splitting,0.7,50.5202757056816
Data splitting,0.7,45.11195548575777
Data splitting,0.7,53.38247519662344
Data splitting,0.7,28.663464074578997
Data splitting,0.7,39.30528997773286
Data splitting,0.7,43.880643438778634
Data splitting,0.7,26.794144140127326
Data splitting,0.7,31.569780946724883
Data splitting,0.7,40.288681141388594
Data splitting,0.7,33.32928121244007
Data splitting,0.7,44.51546465686599
Data splitting,0.7,76.90586576744205
Data splitting,0.7,45.10474836962447
Data splitting,0.7,47.08679251446812
Data splitting,0.7,27.161527915523248
Data splitting,0.7,41.12830941266095
Data splitting,0.7,47.97540449774747
Data splitting,0.7,56.37884742677797
Data splitting,0.7,31.39659718372227
Data splitting,0.7,32.53625653336534
Data splitting,0.7,40.436077022710954
Data splitting,0.7,30.948018710427757
Data splitting,0.7,36.18713680681333
Data splitting,0.7,58.99496582753453
Data splitting,0.7,37.45427177804473
Data splitting,0.7,22.34072377516863
Data splitting,0.7,38.182454265780905
Data splitting,0.7,48.2195313039092
Data splitting,0.7,28.261749879331596
Data splitting,0.7,30.88235018373
Data splitting,0.7,30.863959954590776
Data splitting,0.7,46.38234293030791
Data splitting,0.7,8555.690699972218
Data splitting,0.7,49.0390492115806
Data splitting,0.7,34.58699029063806
Data splitting,0.7,45.0285473181932
Data splitting,0.7,29.119310710606328
Data splitting,0.7,21.650321002523118
Data splitting,0.7,36.86841458156091
Data splitting,0.7,21.743981425635457
Data splitting,0.7,34.079620923955694
Data splitting,0.7,38.00056067683112
Data splitting,0.7,57.026850724681616
Data splitting,0.7,27.119696420821853
Data splitting,0.7,25.113677386303035
Data splitting,0.7,59.94974591592584
Data splitting,0.7,28.166980126070545
Data splitting,0.7,45.70068803518288
Data splitting,0.7,33.89882147185222
Data splitting,0.7,33.924047622055845
Data splitting,0.7,30.41427992586444
Data splitting,0.7,33.2248032100457
Data splitting,0.7,44.168082019255756
Data splitting,0.7,22.29072868932492
Data splitting,0.7,35.67278839810814
Data splitting,0.7,26.47856245395881
Data splitting,0.7,29.484972268185622
Data splitting,0.7,33.38160448211462
Data splitting,0.7,61.77947722331121
Data splitting,0.7,25.021737373041574
Data splitting,0.7,40.68256759955484
Data splitting,0.7,25.495394077275982
Post-GL,0.7,13.461635468193517
Post-GL,0.7,24.19345309849437
Post-GL,0.7,20.715138378775038
Post-GL,0.7,49.1097057341133
Post-GL,0.7,18.914508696353767
Post-GL,0.7,27.249512705791854
